AT1G01010	NTL10
AT1G01020	ARV1
AT1G01030	NGA3
AT1G01040	SUS1
AT1G01046	MIR838A
AT1G01050	PPa1
AT1G01060	LHY1
AT1G01070	UMAMIT28
AT1G01080	AT1G01080
AT1G01090	AT1G01090
AT1G01100	RPP1A
AT1G01110	IQD18
AT1G01120	KCS1
AT1G01130	AT1G01130
AT1G01140	SnRK3.12
AT1G01150	AT1G01150
AT1G01160	GIF2
AT1G01170	AT1G01170
AT1G01180	AT1G01180
AT1G01183	MIR165A
AT1G01184	miPEP165a
AT1G01190	CYP78A8
AT1G01200	RABA3
AT1G01210	AT1G01210
AT1G01220	FKGP
AT1G01225	AT1G01225
AT1G01230	AtORM1
AT1G01240	AT1G01240
AT1G01250	AT1G01250
AT1G01260	JAM2
AT1G01270	AT1G01270
AT1G01280	CYP703A2
AT1G01290	CNX3
AT1G01300	AT1G01300
AT1G01305	AT1G01305
AT1G01310	AT1G01310
AT1G01320	REC1
AT1G01335	AREP1
AT1G01340	CNGC10
AT1G01350	AT1G01350
AT1G01355	AT1G01355
AT1G01360	RCAR1
AT1G01370	HTR12
AT1G01380	ETC1
AT1G01390	AT1G01390
AT1G01400	AT1G01400
AT1G01410	PUM22
AT1G01420	UGT72B3
AT1G01430	TBL25
AT1G01440	AT1G01440
AT1G01448	AT1G01448
AT1G01450	AT1G01450
AT1G01453	AT1G01453
AT1G01460	PIPK11
AT1G01470	LSR3
AT1G01480	AT-ACC2
AT1G01490	AT1G01490
AT1G01500	AT1G01500
AT1G01510	DOQ
AT1G01520	REV3
AT1G01530	AGL28
AT1G01540	AT1G01540
AT1G01550	BPS1
AT1G01560	MPK11
AT1G01570	AT1G01570
AT1G01580	FRO2
AT1G01590	FRO1
AT1G01600	CYP86A4
AT1G01610	GPAT4
AT1G01620	TMP-B
AT1G01630	AT1G01630
AT1G01640	AT1G01640
AT1G01650	SPPL4
AT1G01660	AT1G01660
AT1G01670	AT1G01670
AT1G01680	PUB54
AT1G01690	PRD3
AT1G01695	TRM33
AT1G01700	ROPGEF2
AT1G01710	AT1G01710
AT1G01715	AT1G01715
AT1G01720	ATAF1
AT1G01725	AT1G01725
AT1G01730	AT1G01730
AT1G01740	BSK4
AT1G01750	ADF11
AT1G01760	TAD1
AT1G01770	AT1G01770
AT1G01780	PLIM2b
AT1G01790	KEA1
AT1G01800	AT1G01800
AT1G01810	AT1G01810
AT1G01820	PEX11C
AT1G01830	AT1G01830
AT1G01840	AT1G01840
AT1G01860	PFC1
AT1G01870	AT1G01870
AT1G01880	GEN1
AT1G01890	AT1G01890
AT1G01900	SBTI1.1
AT1G01910	GET3a
AT1G01920	AT1G01920
AT1G01930	AT1G01930
AT1G01940	AT1G01940
AT1G01950	AtKINUb
AT1G01960	EDA10
AT1G01970	AT1G01970
AT1G01980	OGOX4
AT1G01990	AT1G01990
AT1G02000	GAE2
AT1G02010	SEC1A
AT1G02020	AT1G02020
AT1G02030	AT1G02030
AT1G02040	AT1G02040
AT1G02050	PKSA
AT1G02060	AT1G02060
AT1G02065	SPL8
AT1G02067	AT1G02067
AT1G02070	AT1G02070
AT1G02080	AT1G02080
AT1G02090	FUS5
AT1G02100	SBI1
AT1G02110	AT1G02110
AT1G02120	VAD1
AT1G02130	RABD2A
AT1G02136	AT1G02136
AT1G02140	MEE63
AT1G02145	EBS4
AT1G02150	AT1G02150
AT1G02160	AT1G02160
AT1G02170	MCP1b
AT1G02180	AT1G02180
AT1G02190	CER1-L1
AT1G02205	CER22
AT1G02210	AT1G02210
AT1G02220	NAC003
AT1G02228	AT1G02228
AT1G02230	NAC004
AT1G02250	NAC005
AT1G02260	AT1G02260
AT1G02270	AT1G02270
AT1G02280	TOC33
AT1G02290	AT1G02290
AT1G02300	AtcathB1
AT1G02305	AtcathB2
AT1G02310	MAN1
AT1G02320	AT1G02320
AT1G02330	CSU2
AT1G02335	PDGLP2
AT1G02340	HFR1
AT1G02350	AT1G02350
AT1G02360	AT1G02360
AT1G02370	AT1G02370
AT1G02380	AT1G02380
AT1G02390	GPAT2
AT1G02400	GA2OX6
AT1G02405	AT1G02405
AT1G02410	COX11
AT1G02420	AT1G02420
AT1G02430	ATARFD1B
AT1G02440	ATARFD1A
AT1G02450	NIMIN1
AT1G02460	AT1G02460
AT1G02470	AT1G02470
AT1G02475	AT1G02475
AT1G02480	AT1G02480
AT1G02490	AT1G02490
AT1G02500	SAM1
AT1G02510	TPK4
AT1G02520	PGP11
AT1G02530	PGP12
AT1G02540	AT1G02540
AT1G02550	AT1G02550
AT1G02560	NCLPP5
AT1G02570	AT1G02570
AT1G02575	AT1G02575
AT1G02580	SDG5
AT1G02590	AT1G02590
AT1G02600	AT1G02600
AT1G02610	AT1G02610
AT1G02620	AT1G02620
AT1G02630	AT1G02630
AT1G02640	BXL2
AT1G02650	AT1G02650
AT1G02660	PLIP2
AT1G02670	AT1G02670
AT1G02680	TAF13
AT1G02681	AT1G02681
AT1G02690	IMPA-6
AT1G02700	AT1G02700
AT1G02705	AT1G02705
AT1G02710	AT1G02710
AT1G02720	GATL5
AT1G02730	SOS6
AT1G02740	MRG2
AT1G02750	AT1G02750
AT1G02760	AT1G02760
AT1G02770	AT1G02770
AT1G02780	emb2386
AT1G02790	PGA4
AT1G02800	CEL2
AT1G02810	AT1G02810
AT1G02813	AT1G02813
AT1G02816	AT1G02816
AT1G02820	LEA3
AT1G02830	AT1G02830
AT1G02840	SRP34
AT1G02850	BGLU11
AT1G02860	SYG1
AT1G02870	AT1G02870
AT1G02880	TPK1
AT1G02890	AT1G02890
AT1G02900	RALFL1
AT1G02910	LPA1
AT1G02920	GSTF7
AT1G02930	GSTF6
AT1G02940	GSTF5
AT1G02950	GSTF4
AT1G02952	AT1G02952
AT1G02960	AT1G02960
AT1G02965	AT1G02965
AT1G02970	WEE1
AT1G02980	CUL2
AT1G02990	AT1G02990
AT1G03000	PEX6
AT1G03010	AT1G03010
AT1G03020	ROXY16
AT1G03030	AT1G03030
AT1G03040	AT1G03040
AT1G03050	PICALM5A
AT1G03055	D27
AT1G03060	SPI
AT1G03070	LFG4
AT1G03080	NET1D
AT1G03090	MCCA
AT1G03100	AT1G03100
AT1G03103	AT1G03103
AT1G03106	AT1G03106
AT1G03110	TRM82
AT1G03120	RAB28
AT1G03130	PSAD-2
AT1G03140	PRP18a
AT1G03150	AT1G03150
AT1G03160	FZL
AT1G03165	AT1G03165
AT1G03170	FTM5
AT1G03180	AT1G03180
AT1G03190	UVH6
AT1G03200	AT1G03200
AT1G03210	AT1G03210
AT1G03220	AT1G03220
AT1G03230	AT1G03230
AT1G03240	AT1G03240
AT1G03250	AT1G03250
AT1G03260	AT1G03260
AT1G03270	AT1G03270
AT1G03280	AT1G03280
AT1G03290	AT1G03290
AT1G03300	DUF1
AT1G03310	ISA2
AT1G03320	AT1G03320
AT1G03325	AT1G03325
AT1G03330	LSM2
AT1G03340	AT1G03340
AT1G03350	AT1G03350
AT1G03360	SOP2
AT1G03365	AT1G03365
AT1G03370	AT1G03370
AT1G03380	ATG18G
AT1G03390	AT1G03390
AT1G03395	AT1G03395
AT1G03400	AT1G03400
AT1G03410	2A6
AT1G03420	Sadhu4-2
AT1G03430	AHP5
AT1G03440	AT1G03440
AT1G03445	BSU1
AT1G03457	BRN2
AT1G03470	NET3A
AT1G03475	LIN2
AT1G03490	NAC006
AT1G03495	AT1G03495
AT1G03502	AT1G03502
AT1G03506	AT1G03506
AT1G03510	AT1G03510
AT1G03515	AT1G03515
AT1G03520	AT1G03520
AT1G03530	NAF1
AT1G03540	AT1G03540
AT1G03545	AT1G03545
AT1G03550	SCAMP4
AT1G03560	AT1G03560
AT1G03570	AT1G03570
AT1G03580	AT1G03580
AT1G03590	AT1G03590
AT1G03600	PSB27
